cost,prototypes,times,q,K,m,seed,run,partition_entropy,modified_partition_coefficient,entropy,adjusted_rand_score,f1_micro,f1_macro,classification_error,g0 size,g1 size,g2 size,g3 size,g4 size,g5 size,g6 size,g7 size,g8 size,g9 size
"8598,86402642703","[[1722, 1764], [254, 238], [1440, 1433], [588, 524], [1319, 1255], [1901, 1898], [1689, 1655], [840, 967], [25, 132], [1887, 1928]]",9,2,10,"1,1",18082020,0,"0,33073935090372053","0,608956500135013","0,33073935090372053","0,5135202711273603","0,181","0,1723936578564111","0,819",163,226,187,242,235,184,177,162,192,232
"8623,131788344055","[[132, 25], [1319, 1254], [479, 1433], [1901, 1898], [1842, 1887], [685, 762], [1689, 1641], [1016, 1080], [993, 922], [972, 831]]",5,2,10,"1,1",18082021,1,"0,28763658884325904","0,6611382231780358","0,28763658884325904","0,5463009235263748","0,212","0,18145900026825718","0,788",215,191,366,176,235,234,196,155,90,142
"8751,701086878295","[[685, 620], [132, 25], [840, 853], [591, 596], [620, 769], [1319, 1254], [1842, 1887], [1558, 1518], [641, 773], [504, 524]]",5,2,10,"1,1",18082022,2,"0,34670966596229225","0,5832679574157654","0,34670966596229225","0,4150726492631228","0,0625","0,06369387589163332","0,9375",165,386,167,140,135,252,237,198,163,157
"8516,683586010458","[[1319, 1254], [1655, 1689], [1433, 1485], [1016, 1080], [1722, 1760], [504, 588], [685, 762], [254, 238], [25, 132], [840, 853]]",6,2,10,"1,1",18082023,3,"0,2949336284247774","0,6541022515207174","0,2949336284247774","0,6031709639471264","0,0195","0,019160071475487855","0,9805",228,143,254,171,94,245,242,278,184,161
"8557,387130285324","[[1834, 1887], [1016, 1080], [278, 229], [685, 762], [132, 25], [1161, 1179], [1319, 1333], [588, 524], [1440, 1504], [254, 238]]",4,2,10,"1,1",18082024,4,"0,26837754172123823","0,6925675068497337","0,26837754172123823","0,5594643028853249","0,2265","0,20338000965616976","0,7735",202,126,106,200,347,80,397,261,183,98
"8625,250193360878","[[132, 25], [254, 238], [772, 695], [1319, 1254], [1810, 1901], [1689, 1655], [840, 853], [1433, 1409], [1689, 1655], [685, 762]]",7,2,10,"1,1",18082025,5,"0,3417266685498173","0,5914030292455896","0,3417266685498173","0,5346171853814858","0,36349999999999993","0,3409784732057344","0,6365000000000001",223,203,167,225,308,0,160,274,238,202
"8601,359019261545","[[685, 620], [132, 25], [840, 969], [1486, 1500], [1319, 1254], [1834, 1808], [1655, 1689], [588, 524], [1722, 1689], [1539, 1473]]",7,2,10,"1,1",18082026,6,"0,3165463850756269","0,6224825854121117","0,3165463850756269","0,5183507879981994","0,0735","0,0786322703926334","0,9265",327,207,176,128,224,307,145,219,120,147
"8591,263302066476","[[1842, 1887], [1214, 1277], [1641, 1792], [132, 25], [1047, 1035], [1440, 1582], [1901, 1898], [840, 969], [1258, 1291], [588, 524]]",6,2,10,"1,1",18082027,7,"0,2955276687563903","0,6523876872185201","0,2955276687563903","0,5254545876510756","0,01","0,010751219596970011","0,99",262,118,187,230,304,183,168,173,130,245
"8543,876978291117","[[1016, 1080], [1641, 1792], [840, 853], [1763, 1773], [588, 524], [1440, 1582], [1319, 1254], [1904, 1901], [132, 25], [685, 762]]",6,2,10,"1,1",18082028,8,"0,2868686980334079","0,6688800755355944","0,2868686980334079","0,5881715351080415","0,1335","0,12346126296970283","0,8665",158,163,170,97,239,166,230,293,226,258
"8558,565314863645","[[993, 922], [1834, 1842], [685, 762], [132, 25], [981, 890], [1433, 1485], [588, 524], [1258, 1227], [1214, 1277], [1016, 1080]]",8,2,10,"1,1",18082029,9,"0,2588998082136115","0,6980453000672557","0,2588998082136115","0,5353295327309308","0,113","0,11526895911053667","0,887",85,321,242,344,115,229,237,140,112,175
"8642,918298601937","[[132, 25], [840, 853], [254, 238], [479, 588], [685, 762], [1901, 1898], [1319, 1254], [1689, 1655], [1641, 1689], [1347, 1319]]",6,2,10,"1,1",18082030,10,"0,3195072936620606","0,6081302216421475","0,3195072936620606","0,5193663487633471","0,2145","0,21857262659123028","0,7855",226,153,211,322,249,318,143,116,161,101
"8733,889593955393","[[1486, 1425], [1319, 1333], [685, 762], [749, 641], [591, 593], [1011, 1025], [504, 585], [132, 25], [254, 238], [1016, 1080]]",4,2,10,"1,1",18082031,11,"0,3261050605195725","0,6219713180738129","0,3261050605195725","0,4829128425590234","0,0555","0,06407576912712445","0,9445",220,376,166,138,145,125,153,344,212,121
"8338,730817315669","[[1990, 1937], [1689, 1641], [238, 278], [588, 524], [1854, 1964], [840, 853], [1433, 1485], [1319, 1254], [132, 25], [685, 620]]",7,2,10,"1,1",18082032,12,"0,2495965968183947","0,7037083131482442","0,2495965968183947","0,6145364152727926","0,011","0,01027628652773698","0,989",144,216,174,217,163,160,198,234,229,265
"8628,035060201091","[[697, 685], [1834, 1887], [1558, 1518], [591, 593], [132, 25], [238, 254], [685, 762], [504, 524], [1319, 1333], [1689, 1641]]",9,2,10,"1,1",18082033,13,"0,3170256894011669","0,6249274532688726","0,3170256894011669","0,5366779150135604","0,0175","0,017048840387853807","0,9825",131,165,226,153,229,193,162,145,372,224
"8577,65170097483","[[685, 762], [132, 25], [1440, 1582], [62, 25], [840, 853], [1016, 1080], [1810, 1904], [1655, 1629], [254, 238], [588, 504]]",9,2,10,"1,1",18082034,14,"0,29673079481944475","0,6426281356190002","0,29673079481944475","0,5938365999318831","0,163","0,15582935314742857","0,837",205,150,161,86,285,162,240,247,215,249
"8404,80229631264","[[132, 25], [1319, 1333], [685, 620], [1689, 1641], [588, 524], [1964, 1854], [840, 967], [1433, 1485], [254, 238], [749, 773]]",4,2,10,"1,1",18082035,15,"0,2698567210351425","0,6836800799106924","0,2698567210351425","0,6459359461325962","0,212","0,20789162459286686","0,788",228,232,241,218,216,233,161,192,189,90
